iter	RMSE
0	0.02837006228
1	0.02722889084
2	0.0260468222
3	0.02500908885
4	0.0240315996
5	0.02307595758
6	0.02211968633
7	0.02119501306
8	0.02042591085
9	0.01958493065
10	0.01881590822
11	0.01808382728
12	0.01733977928
13	0.01661964342
14	0.01596465735
15	0.015340714
16	0.01478277688
17	0.01422480248
18	0.01370970613
19	0.013200094
20	0.01267657196
21	0.01217899203
22	0.01172645998
23	0.01127658095
24	0.01085523565
25	0.01048460906
26	0.01010153216
27	0.009723179432
28	0.009384160045
29	0.009058141094
30	0.008754705908
31	0.008454635935
32	0.008181795673
33	0.007912387587
34	0.007659138028
35	0.007428765992
36	0.00719295176
37	0.006971237379
38	0.006773874696
39	0.006576262127
40	0.006389907887
41	0.006201897942
42	0.006020243818
43	0.005859014812
44	0.005689201486
45	0.005546067697
46	0.005402235472
47	0.005270499007
48	0.005143315856
49	0.005020413545
50	0.004896543114
51	0.004783533898
52	0.00467653951
53	0.004574441902
54	0.004480894873
55	0.004387096149
56	0.004292984992
57	0.004214089716
58	0.004142100543
59	0.004070209143
60	0.003987694669
61	0.003926743885
62	0.00386057986
63	0.00379713427
64	0.00373169407
65	0.003680600384
66	0.003627630049
67	0.003570750992
68	0.003527077569
69	0.003482591378
70	0.003437556992
71	0.003390497023
72	0.003344401212
73	0.003314507686
74	0.003283413768
75	0.003249443236
76	0.003212128047
77	0.003184567218
78	0.003147683186
79	0.003122618185
80	0.003090352446
81	0.003061855132
82	0.003034555235
83	0.003007451585
84	0.00297937641
85	0.002957392038
86	0.002927552396
87	0.002902891273
88	0.002878814813
89	0.002852064092
90	0.002831450345
91	0.002809926589
92	0.002791723957
93	0.002776183848
94	0.002756392014
95	0.002737039751
96	0.002717012627
97	0.002698414395
98	0.002686899194
99	0.002667386529
100	0.002655860241
101	0.002639574455
102	0.00262802529
103	0.002611213773
104	0.002598349351
105	0.002578950847
106	0.002567398287
107	0.002554536927
108	0.00254057942
109	0.002531576195
110	0.002517316895
111	0.002501993849
112	0.002490421527
113	0.002478986592
114	0.002468971319
115	0.002457945632
116	0.0024424812
117	0.002434952539
118	0.002424322496
119	0.002410900824
120	0.00240412399
121	0.002389144658
122	0.002382614835
123	0.002372001602
124	0.002362759359
125	0.002352720817
126	0.002342483198
127	0.002337036147
128	0.00232678692
129	0.002320838309
130	0.002313266368
131	0.002306173163
132	0.002299264872
133	0.002295827859
134	0.002289885387
135	0.002283659295
136	0.002275829069
137	0.002266539897
138	0.002259463097
139	0.002248957016
140	0.002246595135
141	0.002237946801
142	0.00223143125
143	0.002219340045
144	0.002214549853
145	0.002206865185
146	0.002202991105
147	0.002193520847
148	0.0021898764
149	0.002180000125
150	0.002171399799
151	0.002166084003
152	0.002156372578
153	0.002150600141
154	0.00214332559
155	0.002138905467
156	0.002131857114
157	0.002125769164
158	0.002118552304
159	0.002112699957
160	0.00210623725
161	0.002101188615
162	0.002094031247
163	0.00209174382
164	0.002085029425
165	0.002081823876
166	0.002078670883
167	0.002075658879
168	0.002065862363
169	0.002061297556
170	0.00205237429
171	0.002046257499
172	0.002042268342
173	0.002036978774
174	0.002034371662
175	0.002032921292
176	0.002022941213
177	0.002018419698
178	0.002013189924
179	0.002005474108
180	0.002003952249
181	0.0019988223
182	0.001995730876
183	0.001991038881
184	0.00198277223
185	0.001981353145
186	0.001980005183
187	0.001978357507
188	0.001973333323
189	0.001965889092
190	0.001959538618
191	0.001954686861
192	0.001945918528
193	0.001945160118
194	0.001941443604
195	0.001934593689
196	0.001933568699
197	0.00192282319
198	0.001917997452
199	0.001912405717
200	0.001905218958
201	0.001894946547
202	0.001893533498
203	0.001888021723
204	0.001885890775
205	0.001879499117
206	0.001873636471
207	0.0018717383
208	0.001866985984
209	0.001858588837
210	0.001849903477
211	0.001843438168
212	0.001837808425
213	0.001833850764
214	0.001829581885
215	0.001827039892
216	0.001821201386
217	0.001815914439
218	0.001809473909
219	0.001807860293
220	0.001807292853
221	0.001806277257
222	0.001800723357
223	0.001795595646
224	0.001788786816
225	0.001783484442
226	0.001782890985
227	0.001775877275
228	0.001775301957
229	0.001769821554
230	0.001767703893
231	0.001761503299
232	0.001752816824
233	0.001746918092
234	0.001741277841
235	0.001737458407
236	0.001735204457
237	0.001734048577
238	0.001731112118
239	0.001724913256
240	0.001719579823
241	0.001716988205
242	0.001710927242
243	0.001710030382
244	0.001707873168
245	0.001699348637
246	0.001691888617
247	0.001691041606
248	0.001685335241
249	0.001684309229
250	0.001680777487
251	0.00167328217
252	0.001668438548
253	0.001665673881
254	0.001658777329
255	0.001653757078
256	0.001652986361
257	0.001645874314
258	0.001640499227
259	0.001636559515
260	0.001630487594
261	0.001623435184
262	0.001622732119
263	0.001622193498
264	0.001615578515
265	0.001613180381
266	0.001610344472
267	0.001603857062
268	0.001603286678
269	0.001597028311
270	0.001592660311
271	0.001588929677
272	0.001584507859
273	0.001584077361
274	0.001580473151
275	0.00157652043
276	0.00157590943
277	0.001574155704
278	0.001567074114
279	0.001566612372
280	0.001564951145
281	0.001561552532
282	0.001555777735
283	0.001555294657
284	0.001554915292
285	0.001553394998
286	0.00154972687
287	0.00154463449
288	0.001538391767
289	0.001537950958
290	0.001537417743
291	0.001532546458
292	0.00153212619
293	0.001526169986
294	0.001519372245
295	0.001515497323
296	0.001509964871
297	0.001504953706
298	0.001503573209
299	0.001499921677
